Date,Price,Open,High,Low,Volume,Change
"Feb 23, 2021",48911.2,54114.1,54115,45093.8,315.07K,-9.61%
"Feb 22, 2021",54111.8,57437.6,57480.8,48353.8,244.95K,-5.78%
"Feb 21, 2021",57433.8,55907.6,58335.1,55502.7,87.26K,2.70%
"Feb 20, 2021",55923.7,55922,57523.8,54124.1,127.85K,0.03%
"Feb 19, 2021",55906.6,51590.1,56238.5,50816.8,139.43K,8.38%
"Feb 18, 2021",51582.2,52094.5,52524,50941.6,94.35K,-0.95%
"Feb 17, 2021",52079.2,49161.3,52577.7,49018.1,140.03K,5.92%
"Feb 16, 2021",49169.7,47934.2,50515.8,47044.4,141.37K,2.57%
"Feb 15, 2021",47936.3,48611.1,48936.5,45786.1,123.18K,-1.45%
"Feb 14, 2021",48643.4,47172.1,49695.1,47051.9,106.50K,3.13%
"Feb 13, 2021",47168.7,47373.1,48097.3,46270.5,89.42K,-0.43%
"Feb 12, 2021",47371.7,47995,48927.4,46218.6,133.73K,-1.29%
"Feb 11, 2021",47990.7,44834.8,48622.1,44041.1,145.77K,7.04%
"Feb 10, 2021",44836,46507.8,47295.3,43800.5,151.83K,-3.60%
"Feb 09, 2021",46508.6,46396.4,48143.5,45104.7,193.87K,0.24%
"Feb 08, 2021",46395.7,38853.6,46596.4,38057,248.47K,19.41%
"Feb 07, 2021",38852.9,39228.9,39691.7,37381.6,125.37K,-1.03%
"Feb 06, 2021",39256.6,38300.6,40939.7,38275.3,156.02K,2.50%
"Feb 05, 2021",38297.6,36976.4,38303.6,36640,100.60K,3.56%
"Feb 04, 2021",36982.1,37648.9,38707.9,36380.8,151.44K,-1.77%
"Feb 03, 2021",37646.8,35486.9,37646.8,35401.5,131.03K,6.09%
"Feb 02, 2021",35485.2,33514,35976.1,33462.4,120.85K,5.88%
"Feb 01, 2021",33515.7,33106.8,34685.6,32324.9,126.32K,1.23%
"Jan 31, 2021",33108.1,34281.6,34348.3,32189.9,101.92K,-3.43%
